SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME
11,2017-18,MEM,30.0,12,12,373.0,64,168,0.381,24,77,0.312,53,66,0.803,0,27,27,49,12,3,18,24,205,31.083333333333332,5.333333333333333,14.0,2.0,6.416666666666667,4.416666666666667,5.5,0.0,2.25,2.25,4.083333333333333,1.0,0.25,1.5,2.0,17.083333333333332
12,2018-19,MEM,31.0,70,70,2342.0,490,1120,0.438,155,426,0.364,343,406,0.845,40,199,239,449,94,22,130,123,1478,33.457142857142856,7.0,16.0,2.2142857142857144,6.085714285714285,4.9,5.8,0.5714285714285714,2.842857142857143,3.414285714285714,6.414285714285715,1.3428571428571427,0.3142857142857143,1.8571428571428572,1.7571428571428571,21.114285714285714
13,2019-20,UTA,32.0,47,41,1363.0,232,567,0.409,96,256,0.375,115,139,0.827,33,118,151,208,36,5,92,104,675,29.0,4.9361702127659575,12.063829787234043,2.0425531914893615,5.446808510638298,2.4468085106382977,2.9574468085106385,0.7021276595744681,2.5106382978723403,3.2127659574468086,4.425531914893617,0.7659574468085106,0.10638297872340426,1.9574468085106382,2.2127659574468086,14.361702127659575
14,2020-21,UTA,33.0,51,51,1498.0,284,640,0.444,138,335,0.412,121,142,0.852,36,141,177,305,70,9,99,98,827,29.372549019607842,5.568627450980392,12.549019607843137,2.7058823529411766,6.568627450980392,2.372549019607843,2.784313725490196,0.7058823529411765,2.764705882352941,3.4705882352941178,5.980392156862745,1.3725490196078431,0.17647058823529413,1.9411764705882353,1.9215686274509804,16.215686274509803
15,2021-22,UTA,34.0,72,72,2058.0,344,791,0.435,169,414,0.408,129,162,0.796,47,170,217,385,96,21,123,142,986,28.583333333333332,4.777777777777778,10.98611111111111,2.3472222222222223,5.75,1.7916666666666667,2.25,0.6527777777777778,2.361111111111111,3.013888888888889,5.347222222222222,1.3333333333333333,0.2916666666666667,1.7083333333333333,1.9722222222222223,13.694444444444445
16,2022-23,UTA,35.0,43,42,1275.0,153,375,0.408,77,213,0.362,78,96,0.813,17,90,107,330,44,10,74,94,461,29.651162790697676,3.558139534883721,8.720930232558139,1.7906976744186047,4.953488372093023,1.813953488372093,2.2325581395348837,0.3953488372093023,2.0930232558139537,2.488372093023256,7.674418604651163,1.0232558139534884,0.23255813953488372,1.7209302325581395,2.186046511627907,10.720930232558139
17,2022-23,MIN,35.0,24,24,753.0,108,235,0.46,58,138,0.42,63,73,0.863,16,59,75,120,29,4,29,45,337,31.375,4.5,9.791666666666666,2.4166666666666665,5.75,2.625,3.0416666666666665,0.6666666666666666,2.4583333333333335,3.125,5.0,1.2083333333333333,0.16666666666666666,1.2083333333333333,1.875,14.041666666666666
18,2022-23,TOT,35.0,67,66,2028.0,261,610,0.428,135,351,0.385,141,169,0.834,33,149,182,450,73,14,103,139,798,30.26865671641791,3.8955223880597014,9.104477611940299,2.014925373134328,5.2388059701492535,2.1044776119402986,2.5223880597014925,0.4925373134328358,2.2238805970149254,2.716417910447761,6.7164179104477615,1.0895522388059702,0.208955223880597,1.537313432835821,2.074626865671642,11.91044776119403
19,2023-24,MIN,36.0,76,76,2193.0,294,644,0.457,179,405,0.442,102,112,0.911,37,181,218,449,88,17,102,128,869,28.855263157894736,3.8684210526315788,8.473684210526315,2.3552631578947367,5.328947368421052,1.3421052631578947,1.4736842105263157,0.4868421052631579,2.3815789473684212,2.8684210526315788,5.907894736842105,1.1578947368421053,0.2236842105263158,1.3421052631578947,1.6842105263157894,11.43421052631579
20,2024-25,MIN,37.0,48,42,1203.0,122,331,0.369,85,220,0.386,63,69,0.913,24,104,128,221,59,9,52,71,392,25.0625,2.5416666666666665,6.895833333333333,1.7708333333333333,4.583333333333333,1.3125,1.4375,0.5,2.1666666666666665,2.6666666666666665,4.604166666666667,1.2291666666666667,0.1875,1.0833333333333333,1.4791666666666667,8.166666666666666
