PLAYER_ID,PLAYER_NAME,SEASON_NUMBER,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,MIN_PER_GAME,FGM_PER_GAME,FGA_PER_GAME,FG3M_PER_GAME,FG3A_PER_GAME,FTM_PER_GAME,FTA_PER_GAME,OREB_PER_GAME,DREB_PER_GAME,REB_PER_GAME,AST_PER_GAME,STL_PER_GAME,BLK_PER_GAME,TOV_PER_GAME,PF_PER_GAME,PTS_PER_GAME,PER,TS_PCT,THREE_PAR,FTR,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT,USG_PCT,OWS,DWS,WS,WS_PER_48,OBPM,DBPM,BPM,VORP
201145,Jeff Green,25,2024-25,HOU,38.0,16,2,186.0,28,56,0.5,10,35,0.286,15,18,0.833,5,21,26,5,3,1,5,17,81,11.625,1.75,3.5,0.625,2.1875,0.9375,1.125,0.3125,1.3125,1.625,0.3125,0.1875,0.0625,0.3125,1.0625,5.0625,12.4,0.634,0.625,0.321,2.800,12.300,7.400,3.800,0.800,0.500,7.300,15.200,0.4,0.2,0.5,0.141,-1.3,-0.3,-1.6,0.0
1630182,Josh Green,1,2020-21,DAL,20.0,39,5,445.0,42,93,0.452,4,25,0.16,13,23,0.565,28,50,78,28,16,3,17,35,101,11.41025641025641,1.0769230769230769,2.3846153846153846,0.10256410256410256,0.6410256410256411,0.3333333333333333,0.5897435897435898,0.717948717948718,1.2820512820512822,2.0,0.717948717948718,0.41025641025641024,0.07692307692307693,0.4358974358974359,0.8974358974358975,2.58974358974359,8.8,0.490,0.269,0.247,7.000,12.300,9.700,8.300,1.800,0.600,14.200,11.900,0.1,0.4,0.5,0.050,-3.7,0.1,-3.6,-0.2
1630182,Josh Green,2,2021-22,DAL,21.0,67,3,1039.0,130,256,0.508,28,78,0.359,31,45,0.689,52,109,161,79,45,14,44,115,319,15.507462686567164,1.9402985074626866,3.8208955223880596,0.417910447761194,1.164179104477612,0.4626865671641791,0.6716417910447762,0.7761194029850746,1.626865671641791,2.4029850746268657,1.1791044776119404,0.6716417910447762,0.208955223880597,0.6567164179104478,1.7164179104477613,4.7611940298507465,11.9,0.578,0.305,0.176,5.600,11.700,8.600,11.000,2.200,1.200,13.800,13.900,1.0,1.4,2.4,0.111,-2.4,1.4,-1.0,0.3
1630182,Josh Green,3,2022-23,DAL,22.0,60,21,1539.0,205,382,0.537,68,169,0.402,68,94,0.723,55,127,182,103,42,5,72,156,546,25.65,3.4166666666666665,6.366666666666666,1.1333333333333333,2.816666666666667,1.1333333333333333,1.5666666666666667,0.9166666666666666,2.1166666666666667,3.033333333333333,1.7166666666666666,0.7,0.08333333333333333,1.2,2.6,9.1,11.2,0.645,0.442,0.246,4.100,9.700,6.900,9.700,1.400,0.300,14.500,14.600,1.7,0.9,2.6,0.082,-1.9,-0.6,-2.4,-0.2
1630182,Josh Green,4,2023-24,DAL,23.0,57,33,1505.0,179,374,0.479,72,187,0.385,39,57,0.684,40,144,184,130,47,9,60,107,469,26.403508771929825,3.1403508771929824,6.56140350877193,1.263157894736842,3.280701754385965,0.6842105263157895,1.0,0.7017543859649122,2.526315789473684,3.2280701754385963,2.280701754385965,0.8245614035087719,0.15789473684210525,1.0526315789473684,1.8771929824561404,8.228070175438596,9.9,0.588,0.500,0.152,2.900,10.400,6.700,11.100,1.500,0.500,13.100,13.100,1.0,1.2,2.2,0.071,-2.4,-0.3,-2.7,-0.3
1630182,Josh Green,5,2024-25,CHA,24.0,49,48,1405.0,137,308,0.445,72,176,0.409,35,50,0.7,45,91,136,71,54,11,48,129,381,28.6734693877551,2.795918367346939,6.285714285714286,1.469387755102041,3.5918367346938775,0.7142857142857143,1.0204081632653061,0.9183673469387755,1.8571428571428572,2.7755102040816326,1.4489795918367347,1.1020408163265305,0.22448979591836735,0.9795918367346939,2.63265306122449,7.775510204081633,8.3,0.577,0.571,0.162,3.300,7.100,5.200,7.200,1.900,0.800,12.700,11.400,0.7,1.0,1.7,0.060,-4.0,0.4,-3.7,-0.6
1629656,Quentin Grimes,1,2021-22,NYK,22.0,46,6,786.0,95,235,0.404,72,189,0.381,13,19,0.684,24,70,94,44,31,11,28,72,275,17.08695652173913,2.0652173913043477,5.108695652173913,1.565217391304348,4.108695652173913,0.2826086956521739,0.41304347826086957,0.5217391304347826,1.5217391304347827,2.0434782608695654,0.9565217391304348,0.6739130434782609,0.2391304347826087,0.6086956521739131,1.565217391304348,5.978260869565218,10.7,0.565,0.804,0.081,3.200,9.800,6.400,8.500,2.000,1.400,10.300,15.100,0.6,0.9,1.4,0.087,-1.2,0.9,-0.3,0.3
1629656,Quentin Grimes,2,2022-23,NYK,23.0,71,66,2121.0,282,602,0.468,157,407,0.386,78,98,0.796,49,180,229,150,47,26,69,177,799,29.87323943661972,3.971830985915493,8.47887323943662,2.211267605633803,5.732394366197183,1.0985915492957747,1.380281690140845,0.6901408450704225,2.535211267605634,3.2253521126760565,2.112676056338028,0.6619718309859155,0.36619718309859156,0.971830985915493,2.492957746478873,11.253521126760564,11.7,0.619,0.676,0.163,2.500,9.400,5.900,9.700,1.100,1.200,9.700,14.400,3.2,1.6,4.8,0.108,-0.3,0.1,-0.1,1.0
1629656,Quentin Grimes,3,2023-24,NYK,24.0,45,18,910.0,113,286,0.395,77,212,0.363,24,34,0.706,14,74,88,52,30,3,21,66,327,20.22222222222222,2.511111111111111,6.355555555555555,1.711111111111111,4.711111111111111,0.5333333333333333,0.7555555555555555,0.3111111111111111,1.6444444444444444,1.9555555555555555,1.1555555555555554,0.6666666666666666,0.06666666666666667,0.4666666666666667,1.4666666666666666,7.266666666666667,8.9,0.516,0.732,0.137,1.600,9.300,5.500,8.700,1.700,0.600,7.500,15.800,0.3,1.0,1.3,0.060,-2.6,0.4,-2.2,-0.1
1629656,Quentin Grimes,4,2023-24,DET,24.0,6,0,115.0,9,42,0.214,4,28,0.143,10,11,0.909,1,11,12,14,5,4,7,9,32,19.166666666666668,1.5,7.0,0.6666666666666666,4.666666666666667,1.6666666666666667,1.8333333333333333,0.16666666666666666,1.8333333333333333,2.0,2.3333333333333335,0.8333333333333334,0.6666666666666666,1.1666666666666667,1.5,5.333333333333333,9.5,0.543,0.741,0.119,1.700,9.200,5.400,7.800,1.700,0.300,6.500,15.300,0.7,0.9,1.5,0.081,-1.9,0.4,-1.5,0.1
1629656,Quentin Grimes,5,2023-24,TOT,24.0,51,18,1025.0,122,328,0.372,81,240,0.338,34,45,0.756,15,85,100,66,35,7,28,75,359,20.098039215686274,2.392156862745098,6.431372549019608,1.588235294117647,4.705882352941177,0.6666666666666666,0.8823529411764706,0.29411764705882354,1.6666666666666667,1.9607843137254901,1.2941176470588236,0.6862745098039216,0.13725490196078433,0.5490196078431373,1.4705882352941178,7.03921568627451,3.9,0.342,0.667,0.262,1.000,10.900,5.800,15.800,2.100,3.000,13.000,20.000,-0.4,0.1,-0.3,-0.109,-7.8,-0.4,-8.1,-0.2
1629656,Quentin Grimes,6,2024-25,DAL,24.0,47,12,1070.0,169,365,0.463,80,201,0.398,62,81,0.765,30,149,179,101,32,10,61,78,480,22.76595744680851,3.595744680851064,7.76595744680851,1.702127659574468,4.276595744680851,1.3191489361702127,1.7234042553191489,0.6382978723404256,3.1702127659574466,3.8085106382978724,2.148936170212766,0.6808510638297872,0.2127659574468085,1.297872340425532,1.6595744680851063,10.212765957446809,13.4,0.599,0.551,0.222,3.100,14.700,9.100,13.100,1.500,0.800,13.200,18.400,1.1,0.9,2.0,0.092,0.2,-0.3,-0.1,0.5
1629656,Quentin Grimes,7,2024-25,PHI,24.0,6,3,202.0,35,74,0.473,13,38,0.342,12,16,0.75,10,29,39,23,6,3,9,11,95,33.666666666666664,5.833333333333333,12.333333333333334,2.1666666666666665,6.333333333333333,2.0,2.6666666666666665,1.6666666666666667,4.833333333333333,6.5,3.8333333333333335,1.0,0.5,1.5,1.8333333333333333,15.833333333333334,13.9,0.596,0.546,0.225,3.300,15.200,9.400,13.700,1.400,1.000,12.500,18.700,1.4,1.0,2.4,0.095,0.4,-0.4,0.0,0.6
1629656,Quentin Grimes,8,2024-25,TOT,24.0,53,15,1272.0,204,439,0.465,93,239,0.389,74,97,0.763,40,178,218,124,38,13,70,89,575,24.0,3.849056603773585,8.283018867924529,1.7547169811320755,4.509433962264151,1.3962264150943395,1.830188679245283,0.7547169811320755,3.358490566037736,4.113207547169812,2.339622641509434,0.7169811320754716,0.24528301886792453,1.320754716981132,1.679245283018868,10.849056603773585,16.7,0.576,0.516,0.242,4.700,18.400,11.300,17.300,1.200,1.900,8.000,20.100,0.3,0.1,0.4,0.113,1.9,-0.8,1.1,0.1
1631243,Mouhamed Gueye,1,2023-24,ATL,21.0,6,0,73.0,8,23,0.348,3,9,0.333,5,6,0.833,10,12,22,4,5,4,1,13,24,12.166666666666666,1.3333333333333333,3.8333333333333335,0.5,1.5,0.8333333333333334,1.0,1.6666666666666667,2.0,3.6666666666666665,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,2.1666666666666665,4.0,15.0,0.468,0.391,0.261,14.400,18.600,16.400,7.000,3.300,4.900,3.800,15.200,0.1,0.1,0.2,0.127,-2.1,0.6,-1.5,0.0
1631243,Mouhamed Gueye,2,2024-25,ATL,22.0,9,5,136.0,21,56,0.375,4,28,0.143,7,9,0.778,7,26,33,5,10,9,2,10,53,15.11111111111111,2.3333333333333335,6.222222222222222,0.4444444444444444,3.111111111111111,0.7777777777777778,1.0,0.7777777777777778,2.888888888888889,3.6666666666666665,0.5555555555555556,1.1111111111111112,1.0,0.2222222222222222,1.1111111111111112,5.888888888888889,13.4,0.442,0.500,0.161,5.400,21.200,13.100,5.100,3.400,6.100,3.200,18.600,-0.1,0.2,0.2,0.060,-2.6,2.2,-0.4,0.1
1629060,Rui Hachimura,1,2019-20,WAS,22.0,48,48,1444.0,254,545,0.466,25,87,0.287,116,140,0.829,78,216,294,87,37,8,53,105,649,30.083333333333332,5.291666666666667,11.354166666666666,0.5208333333333334,1.8125,2.4166666666666665,2.9166666666666665,1.625,4.5,6.125,1.8125,0.7708333333333334,0.16666666666666666,1.1041666666666667,2.1875,13.520833333333334,13.5,0.535,0.160,0.257,5.700,17.000,11.100,8.800,1.200,0.500,8.000,19.000,1.3,0.5,1.8,0.060,-1.2,-2.0,-3.2,-0.4
1629060,Rui Hachimura,2,2020-21,WAS,23.0,57,57,1797.0,310,648,0.478,45,137,0.328,124,161,0.77,49,263,312,82,44,7,68,120,789,31.526315789473685,5.43859649122807,11.368421052631579,0.7894736842105263,2.4035087719298245,2.175438596491228,2.824561403508772,0.8596491228070176,4.614035087719298,5.473684210526316,1.4385964912280702,0.7719298245614035,0.12280701754385964,1.1929824561403508,2.1052631578947367,13.842105263157896,11.4,0.549,0.211,0.248,2.900,15.500,9.200,6.300,1.100,0.300,8.600,18.100,0.7,1.4,2.1,0.056,-2.2,-1.0,-3.1,-0.5
1629060,Rui Hachimura,3,2021-22,WAS,24.0,42,13,944.0,187,381,0.491,55,123,0.447,46,66,0.697,25,135,160,48,23,9,33,53,475,22.476190476190474,4.4523809523809526,9.071428571428571,1.3095238095238095,2.9285714285714284,1.0952380952380953,1.5714285714285714,0.5952380952380952,3.2142857142857144,3.8095238095238093,1.1428571428571428,0.5476190476190477,0.21428571428571427,0.7857142857142857,1.2619047619047619,11.30952380952381,14.9,0.579,0.323,0.173,3.000,15.600,9.400,7.900,1.200,0.800,7.400,20.900,0.9,0.6,1.4,0.073,0.2,-1.7,-1.4,0.1
1629060,Rui Hachimura,4,2022-23,WAS,25.0,30,0,728.0,158,324,0.488,30,89,0.337,44,58,0.759,19,109,128,35,11,12,36,39,390,24.266666666666666,5.266666666666667,10.8,1.0,2.966666666666667,1.4666666666666666,1.9333333333333333,0.6333333333333333,3.6333333333333333,4.266666666666667,1.1666666666666667,0.36666666666666664,0.4,1.2,1.3,13.0,13.2,0.556,0.274,0.204,4.100,16.500,10.500,5.800,0.600,1.500,7.700,20.200,0.6,1.3,1.8,0.060,-1.3,-1.0,-2.2,-0.1
1629060,Rui Hachimura,5,2022-23,LAL,25.0,33,9,738.0,126,260,0.485,21,71,0.296,44,61,0.721,34,121,155,23,8,14,17,33,317,22.363636363636363,3.8181818181818183,7.878787878787879,0.6363636363636364,2.1515151515151514,1.3333333333333333,1.8484848484848484,1.0303030303030303,3.6666666666666665,4.696969696969697,0.696969696969697,0.24242424242424243,0.42424242424242425,0.5151515151515151,1.0,9.606060606060606,13.6,0.558,0.275,0.179,3.000,16.000,9.800,7.300,0.700,1.400,9.300,23.000,0.0,0.5,0.6,0.038,-1.2,-1.4,-2.6,-0.1
